Word,Level,
cheese,easy,
bone,easy,
socks,easy,
leaf,easy,
whale,easy,
pie,easy,
shirt,easy,
orange,easy,
lollipop,easy,
bed,easy,
mouth,easy,
person,easy,
horse,easy,
snake,easy,
jar,easy,
spoon,easy,
lamp,easy,
kite,easy,
monkey,easy,
swing,easy,
cloud,easy,
snowman,easy,
baby,easy,
eyes,easy,
pen,easy,
giraffe,easy,
grapes,easy,
book,easy,
ocean,easy,
star,easy,
cupcake,easy,
cow,easy,
lips,easy,
worm,easy,
sun,easy,
basketball,easy,
hat,easy,
bus,easy,
chair,easy,
purse,easy,
head,easy,
spider,easy,
shoe,easy,
ghost,easy,
coat,easy,
chicken,easy,
heart,easy,
jellyfish,easy,
tree,easy,
seashell,easy,
duck,easy,
bracelet,easy,
grass,easy,
jacket,easy,
slide,easy,
doll,easy,
spider,easy,
clock,easy,
cup,easy,
bridge,easy,
apple,easy,
balloon,easy,
drum,easy,
ears,easy,
egg,easy,
bread,easy,
nose,easy,
house,easy,
beach,easy,
airplane,easy,
inchworm,easy,
hippo,easy,
light,easy,
turtle,easy,
ball,easy,
carrot,easy,
cherry,easy,
ice,easy,
pencil,easy,
circle,easy,
bed,easy,
ant,easy,
girl,easy,
glasses,easy,
flower,easy,
mouse,easy,
banana,easy,
alligator,easy,
bell,easy,
robot,easy,
smile,easy,
bike,easy,
rocket,easy,
dinosaur,easy,
dog,easy,
bunny,easy,
cookie,easy,
bowl,easy,
apple,easy,
door,easy,
horse,medium,
door,medium,
song,medium,
trip,medium,
backbone,medium,
bomb,medium,
round,medium,
treasure,medium,
garbage,medium,
park,medium,
whistle,medium,
palace,medium,
baseball,medium,
coal,medium,
queen,medium,
dominoes,medium,
photograph,medium,
computer,medium,
hockey,medium,
aircraft,medium,
pepper,medium,
key,medium,
iPad,medium,
whisk,medium,
cake,medium,
circus,medium,
battery,medium,
mailman,medium,
cowboy,medium,
password,medium,
bicycle,medium,
skate,medium,
electricity,medium,
lightsaber,medium,
nature,medium,
shallow,medium,
toast,medium,
outside,medium,
America,medium,
roller,medium,
blading,medium,
gingerbread,medium,
man,medium,
bowtie,medium,
light,medium,
bulb,medium,
platypus,medium,
music,medium,
sailboat,medium,
popsicle,medium,
knee,medium,
pineapple,medium,
tusk,medium,
sprinkler,medium,
money,medium,
spool,medium,
lighthouse,medium,
doormat,medium,
face,medium,
flute,medium,
owl,medium,
gate,medium,
suitcase,medium,
bathroom,medium,
scale,medium,
peach,medium,
newspaper,medium,
watering,medium,
can,medium,
hook,medium,
school,medium,
beaver,medium,
camera,medium,
hair,medium,
dryer,medium,
mushroom,medium,
quilt,medium,
chalk,medium,
dollar,medium,
soda,medium,
chin,medium,
swing,medium,
garden,medium,
ticket,medium,
boot,medium,
cello,medium,
rain,medium,
clam,medium,
pelican,medium,
stingray,medium,
nail,medium,
sheep,medium,
stoplight,medium,
coconut,medium,
crib,medium,
hippopotamus,medium,
ring,medium,
video,medium,
